"","activity","subject","sensor","avg_reading"
"71","LAYING",20,"tGravityAcc.std...Z",-0.943657000576923
"72","LAYING",20,"tGravityAccMag.mean..",-0.452429326099846
"73","LAYING",20,"tGravityAccMag.std..",-0.519017420878205
"74","LAYING",24,"angle.tBodyAccJerkMean..gravityMean.",-0.0124784211089239
"75","LAYING",24,"angle.tBodyAccMean.gravity.",-0.00231723415711286
"76","LAYING",24,"angle.tBodyGyroJerkMean.gravityMean.",-0.0030034683175853
"77","LAYING",24,"angle.tBodyGyroMean.gravityMean.",-0.0139827364349081
"78","LAYING",24,"angle.X.gravityMean.",-0.545993623779528
"79","LAYING",24,"angle.Y.gravityMean.",0.0198668428905512
"80","LAYING",24,"angle.Z.gravityMean.",-0.031230921055643
"81","LAYING",24,"fBodyAcc.mean...X",-0.707613779580052
"82","LAYING",24,"fBodyAcc.mean...Y",-0.611509042586877
"83","LAYING",24,"fBodyAcc.mean...Z",-0.65585899482231
"84","LAYING",24,"fBodyAcc.std...X",-0.664356691751496
"85","LAYING",24,"fBodyAcc.std...Y",-0.594676790059055
"86","LAYING",24,"fBodyAcc.std...Z",-0.655360521446194
"87","LAYING",24,"fBodyAccJerk.mean...X",-0.752245372493438
"88","LAYING",24,"fBodyAccJerk.mean...Y",-0.703641614506562
"89","LAYING",24,"fBodyAccJerk.mean...Z",-0.719655747391076
"90","LAYING",24,"fBodyAccJerk.std...X",-0.751378154304462
"91","LAYING",24,"fBodyAccJerk.std...Y",-0.688280461860892
"92","LAYING",24,"fBodyAccJerk.std...Z",-0.751628687821522
"93","LAYING",24,"fBodyAccMag.mean..",-0.650121872273806
"94","LAYING",24,"fBodyAccMag.std..",-0.705928425819685
"95","LAYING",24,"fBodyBodyAccJerkMag.mean..",-0.696845583388451
"96","LAYING",24,"fBodyBodyAccJerkMag.std..",-0.682447145993307
"97","LAYING",24,"fBodyBodyGyroJerkMag.mean..",-0.795019165380577
"98","LAYING",24,"fBodyBodyGyroJerkMag.std..",-0.796157264514436
"99","LAYING",24,"fBodyBodyGyroMag.mean..",-0.754131617480315
"100","LAYING",24,"fBodyBodyGyroMag.std..",-0.782076276167979
"101","LAYING",24,"fBodyGyro.mean...X",-0.722607377748032
"102","LAYING",24,"fBodyGyro.mean...Y",-0.753710479580053
"103","LAYING",24,"fBodyGyro.mean...Z",-0.70948857687664
"104","LAYING",24,"fBodyGyro.std...X",-0.794063529133858
"105","LAYING",24,"fBodyGyro.std...Y",-0.771969808976378
"106","LAYING",24,"fBodyGyro.std...Z",-0.735749934304462
"107","LAYING",24,"tBodyAcc.mean...X",0.276767046391076
"108","LAYING",24,"tBodyAcc.mean...Y",-0.0176822460103885
"109","LAYING",24,"tBodyAcc.mean...Z",-0.107914503687664
"110","LAYING",24,"tBodyAcc.std...X",-0.675459176298425
"111","LAYING",24,"tBodyAcc.std...Y",-0.582490655185302
"112","LAYING",24,"tBodyAcc.std...Z",-0.636497458900262
"113","LAYING",24,"tBodyAccJerk.mean...X",0.0784735003467192
"114","LAYING",24,"tBodyAccJerk.mean...Y",0.00396900308574016
"115","LAYING",24,"tBodyAccJerk.mean...Z",-0.00700960558805774
"116","LAYING",24,"tBodyAccJerk.std...X",-0.74030054488189
"117","LAYING",24,"tBodyAccJerk.std...Y",-0.685979796261942
"118","LAYING",24,"tBodyAccJerk.std...Z",-0.736374232574803
"119","LAYING",24,"tBodyAccJerkMag.mean..",-0.713667423769029
"120","LAYING",24,"tBodyAccJerkMag.std..",-0.689391189346457
"121","LAYING",24,"tBodyAccMag.mean..",-0.620032665162467
"122","LAYING",24,"tBodyAccMag.std..",-0.650862147810236
"123","LAYING",24,"tBodyGyro.mean...X",-0.0212578096847769
"124","LAYING",24,"tBodyGyro.mean...Y",-0.0782440202677165
"125","LAYING",24,"tBodyGyro.mean...Z",0.0841740375981627
"126","LAYING",24,"tBodyGyro.std...X",-0.776199049939633
"127","LAYING",24,"tBodyGyro.std...Y",-0.763365457296588
"128","LAYING",24,"tBodyGyro.std...Z",-0.708251676335958
"129","LAYING",24,"tBodyGyroJerk.mean...X",-0.0998294248142257
"130","LAYING",24,"tBodyGyroJerk.mean...Y",-0.0390749421383202
"131","LAYING",24,"tBodyGyroJerk.mean...Z",-0.0552987683401575
"132","LAYING",24,"tBodyGyroJerk.std...X",-0.764490030609974
"133","LAYING",24,"tBodyGyroJerk.std...Y",-0.792718702440945
"134","LAYING",24,"tBodyGyroJerk.std...Z",-0.796816516614173
"135","LAYING",24,"tBodyGyroJerkMag.mean..",-0.791646550787402
"136","LAYING",24,"tBodyGyroJerkMag.std..",-0.788997850813648
"137","LAYING",24,"tBodyGyroMag.mean..",-0.682447212750656
"138","LAYING",24,"tBodyGyroMag.std..",-0.742983126606299
"139","LAYING",24,"tGravityAcc.mean...X",0.69498126808399
"140","LAYING",24,"tGravityAcc.mean...Y",0.0729509702152231
"141","LAYING",24,"tGravityAcc.mean...Z",0.0623227714146982
"142","LAYING",24,"tGravityAcc.std...X",-0.975329699658793
"143","LAYING",24,"tGravityAcc.std...Y",-0.96089816664042
"144","LAYING",24,"tGravityAcc.std...Z",-0.955724566194226
"145","LAYING",24,"tGravityAccMag.mean..",-0.620032665162467
"146","LAYING",24,"tGravityAccMag.std..",-0.650862147810236
"147","LAYING",27,"angle.tBodyAccJerkMean..gravityMean.",0.0130746659501007
"148","LAYING",27,"angle.tBodyAccMean.gravity.",-0.00107359758718121
"149","LAYING",27,"angle.tBodyGyroJerkMean.gravityMean.",-0.0601138842503356
"150","LAYING",27,"angle.tBodyGyroMean.gravityMean.",0.0562656834536913
"151","LAYING",27,"angle.X.gravityMean.",-0.426265140067114
"152","LAYING",27,"angle.Y.gravityMean.",0.0603991269194631
"153","LAYING",27,"angle.Z.gravityMean.",-0.0866947937633893
"154","LAYING",27,"fBodyAcc.mean...X",-0.600641532119463
"155","LAYING",27,"fBodyAcc.mean...Y",-0.553874359468121
"156","LAYING",27,"fBodyAcc.mean...Z",-0.646548247644295
"157","LAYING",27,"fBodyAcc.std...X",-0.566781295338926
"158","LAYING",27,"fBodyAcc.std...Y",-0.565176644248322
"159","LAYING",27,"fBodyAcc.std...Z",-0.620141790812081
"160","LAYING",27,"fBodyAccJerk.mean...X",-0.641991780991611
"161","LAYING",27,"fBodyAccJerk.mean...Y",-0.618436710858725
"162","LAYING",27,"fBodyAccJerk.mean...Z",-0.711004343278523
"163","LAYING",27,"fBodyAccJerk.std...X",-0.63962383364094
"164","LAYING",27,"fBodyAccJerk.std...Y",-0.594512488954698
"165","LAYING",27,"fBodyAccJerk.std...Z",-0.746736746744966
"166","LAYING",27,"fBodyAccMag.mean..",-0.585787631892617
"167","LAYING",27,"fBodyAccMag.std..",-0.672092417700336
"168","LAYING",27,"fBodyBodyAccJerkMag.mean..",-0.609647345982886
"169","LAYING",27,"fBodyBodyAccJerkMag.std..",-0.633580675552349
"170","LAYING",27,"fBodyBodyGyroJerkMag.mean..",-0.796725772701342
"171","LAYING",27,"fBodyBodyGyroJerkMag.std..",-0.810137398130872
"172","LAYING",27,"fBodyBodyGyroMag.mean..",-0.735008737516779
"173","LAYING",27,"fBodyBodyGyroMag.std..",-0.726661203895973
"174","LAYING",27,"fBodyGyro.mean...X",-0.711546673275168
"175","LAYING",27,"fBodyGyro.mean...Y",-0.745557413412416
"176","LAYING",27,"fBodyGyro.mean...Z",-0.630494529231544
"177","LAYING",27,"fBodyGyro.std...X",-0.758703337557047
"178","LAYING",27,"fBodyGyro.std...Y",-0.763234809362416
"179","LAYING",27,"fBodyGyro.std...Z",-0.623261741473154
"180","LAYING",27,"tBodyAcc.mean...X",0.277798919328859
"181","LAYING",27,"tBodyAcc.mean...Y",-0.0169386590334393
"182","LAYING",27,"tBodyAcc.mean...Z",-0.112273368370134
"183","LAYING",27,"tBodyAcc.std...X",-0.574783321550336
"184","LAYING",27,"tBodyAcc.std...Y",-0.541012892132886
"185","LAYING",27,"tBodyAcc.std...Z",-0.60815876533557
"186","LAYING",27,"tBodyAccJerk.mean...X",0.076859186338255
"187","LAYING",27,"tBodyAccJerk.mean...Y",0.0051839851588557
"188","LAYING",27,"tBodyAccJerk.mean...Z",-0.00554795896677852
"189","LAYING",27,"tBodyAccJerk.std...X",-0.624308492209396
"190","LAYING",27,"tBodyAccJerk.std...Y",-0.593582093143792
"191","LAYING",27,"tBodyAccJerk.std...Z",-0.729557309630873
"192","LAYING",27,"tBodyAccJerkMag.mean..",-0.626287365461409
"193","LAYING",27,"tBodyAccJerkMag.std..",-0.618887250102013
"194","LAYING",27,"tBodyAccMag.mean..",-0.535726883050671
"195","LAYING",27,"tBodyAccMag.std..",-0.600445866154362
"196","LAYING",27,"tBodyGyro.mean...X",-0.0683332171546644
"197","LAYING",27,"tBodyGyro.mean...Y",-0.0496441313538255
"198","LAYING",27,"tBodyGyro.mean...Z",0.116262252263758
"199","LAYING",27,"tBodyGyro.std...X",-0.745669027144295
"200","LAYING",27,"tBodyGyro.std...Y",-0.754439610369128
"201","LAYING",27,"tBodyGyro.std...Z",-0.594631679097315
"202","LAYING",27,"tBodyGyroJerk.mean...X",-0.0873862322442852
"203","LAYING",27,"tBodyGyroJerk.mean...Y",-0.0464751059848658
"204","LAYING",27,"tBodyGyroJerk.mean...Z",-0.0600793214
"205","LAYING",27,"tBodyGyroJerk.std...X",-0.776155496711409
"206","LAYING",27,"tBodyGyroJerk.std...Y",-0.796468156174497
"207","LAYING",27,"tBodyGyroJerk.std...Z",-0.727982409261745
"208","LAYING",27,"tBodyGyroJerkMag.mean..",-0.778275050167785
"209","LAYING",27,"tBodyGyroJerkMag.std..",-0.796244747537248
"210","LAYING",27,"tBodyGyroMag.mean..",-0.622646577775503
"211","LAYING",27,"tBodyGyroMag.std..",-0.697498265308054
"212","LAYING",27,"tGravityAcc.mean...X",0.585139591107383
"213","LAYING",27,"tGravityAcc.mean...Y",0.0234793061308725
"214","LAYING",27,"tGravityAcc.mean...Z",0.120613102375168
"215","LAYING",27,"tGravityAcc.std...X",-0.971679845234899
"216","LAYING",27,"tGravityAcc.std...Y",-0.969891146979866
"217","LAYING",27,"tGravityAcc.std...Z",-0.956568824597315
"218","LAYING",27,"tGravityAccMag.mean..",-0.535726883050671
"219","LAYING",27,"tGravityAccMag.std..",-0.600445866154362
"220","LAYING",28,"angle.tBodyAccJerkMean..gravityMean.",-0.00901140259397906
"221","LAYING",28,"angle.tBodyAccMean.gravity.",0.0051397456891623
"222","LAYING",28,"angle.tBodyGyroJerkMean.gravityMean.",-0.00150494933062827
"223","LAYING",28,"angle.tBodyGyroMean.gravityMean.",0.0480755265267016
"224","LAYING",28,"angle.X.gravityMean.",-0.437369402670157
"225","LAYING",28,"angle.Y.gravityMean.",0.182743741320916
"226","LAYING",28,"angle.Z.gravityMean.",0.0624075363685864
"227","LAYING",28,"fBodyAcc.mean...X",-0.654156519193717
"228","LAYING",28,"fBodyAcc.mean...Y",-0.584932500113874
"229","LAYING",28,"fBodyAcc.mean...Z",-0.715134474431937
"230","LAYING",28,"fBodyAcc.std...X",-0.647807192984293
"231","LAYING",28,"fBodyAcc.std...Y",-0.595110472615916
"232","LAYING",28,"fBodyAcc.std...Z",-0.695767279528796
"233","LAYING",28,"fBodyAccJerk.mean...X",-0.686723799059424
"234","LAYING",28,"fBodyAccJerk.mean...Y",-0.670718095926963
"235","LAYING",28,"fBodyAccJerk.mean...Z",-0.779061720358639
"236","LAYING",28,"fBodyAccJerk.std...X",-0.704073382410995
"237","LAYING",28,"fBodyAccJerk.std...Y",-0.654855915271466
"238","LAYING",28,"fBodyAccJerk.std...Z",-0.821715494424084
"239","LAYING",28,"fBodyAccMag.mean..",-0.628763247405236
"240","LAYING",28,"fBodyAccMag.std..",-0.696993999667801
"241","LAYING",28,"fBodyBodyAccJerkMag.mean..",-0.675428720467801
"242","LAYING",28,"fBodyBodyAccJerkMag.std..",-0.706415829342932
"243","LAYING",28,"fBodyBodyGyroJerkMag.mean..",-0.806882151753927
"244","LAYING",28,"fBodyBodyGyroJerkMag.std..",-0.818448508376963
"245","LAYING",28,"fBodyBodyGyroMag.mean..",-0.73790809206911
"246","LAYING",28,"fBodyBodyGyroMag.std..",-0.743784612693717
"247","LAYING",28,"fBodyGyro.mean...X",-0.674356656020942
"248","LAYING",28,"fBodyGyro.mean...Y",-0.747067907931937
"249","LAYING",28,"fBodyGyro.mean...Z",-0.673513886890838
"250","LAYING",28,"fBodyGyro.std...X",-0.762030978010471
"251","LAYING",28,"fBodyGyro.std...Y",-0.740819453429319
"252","LAYING",28,"fBodyGyro.std...Z",-0.700291282881152
"253","LAYING",28,"tBodyAcc.mean...X",0.277532554764398
"254","LAYING",28,"tBodyAcc.mean...Y",-0.0191721442063089
"255","LAYING",28,"tBodyAcc.mean...Z",-0.109710873104188
"256","LAYING",28,"tBodyAcc.std...X",-0.649040391307853
"257","LAYING",28,"tBodyAcc.std...Y",-0.573651895933508
"258","LAYING",28,"tBodyAcc.std...Z",-0.685821415026178
"259","LAYING",28,"tBodyAccJerk.mean...X",0.0807263062382199
"260","LAYING",28,"tBodyAccJerk.mean...Y",0.0138224436546073
"261","LAYING",28,"tBodyAccJerk.mean...Z",0.000824208324801046
"262","LAYING",28,"tBodyAccJerk.std...X",-0.680813725392147
"263","LAYING",28,"tBodyAccJerk.std...Y",-0.651619848945026
"264","LAYING",28,"tBodyAccJerk.std...Z",-0.800870581884817
"265","LAYING",28,"tBodyAccJerkMag.mean..",-0.689429387759162
"266","LAYING",28,"tBodyAccJerkMag.std..",-0.687703433627487
"267","LAYING",28,"tBodyAccMag.mean..",-0.610030902501309
"268","LAYING",28,"tBodyAccMag.std..",-0.635821226515969
"269","LAYING",28,"tBodyGyro.mean...X",-0.064496354556466
"270","LAYING",28,"tBodyGyro.mean...Y",-0.0471474023101021
"271","LAYING",28,"tBodyGyro.mean...Z",0.100840281329581
"272","LAYING",28,"tBodyGyro.std...X",-0.740276591873298
"273","LAYING",28,"tBodyGyro.std...Y",-0.741285540196335
"274","LAYING",28,"tBodyGyro.std...Z",-0.669789662889791
"275","LAYING",28,"tBodyGyroJerk.mean...X",-0.0881213551172775
"276","LAYING",28,"tBodyGyroJerk.mean...Y",-0.0447972595862042
"277","LAYING",28,"tBodyGyroJerk.mean...Z",-0.0607680707408115
"278","LAYING",28,"tBodyGyroJerk.std...X",-0.720515676293194
"279","LAYING",28,"tBodyGyroJerk.std...Y",-0.825038783246073
"280","LAYING",28,"tBodyGyroJerk.std...Z",-0.769755981125654
"281","LAYING",28,"tBodyGyroJerkMag.mean..",-0.78929494326178
"282","LAYING",28,"tBodyGyroJerkMag.std..",-0.805738383010471
"283","LAYING",28,"tBodyGyroMag.mean..",-0.648538641430367
"284","LAYING",28,"tBodyGyroMag.std..",-0.710956808836911
"285","LAYING",28,"tGravityAcc.mean...X",0.62376789513089
"286","LAYING",28,"tGravityAcc.mean...Y",-0.14757775521466
"287","LAYING",28,"tGravityAcc.mean...Z",-0.0469931021049738
"288","LAYING",28,"tGravityAcc.std...X",-0.973873328062827
"289","LAYING",28,"tGravityAcc.std...Y",-0.960365626256545
"290","LAYING",28,"tGravityAcc.std...Z",-0.946225637251309
"291","LAYING",28,"tGravityAccMag.mean..",-0.610030902501309
"292","LAYING",28,"tGravityAccMag.std..",-0.635821226515969
"293","LAYING",29,"angle.tBodyAccJerkMean..gravityMean.",-0.00445131495703488
"294","LAYING",29,"angle.tBodyAccMean.gravity.",0.00843199681639535
"295","LAYING",29,"angle.tBodyGyroJerkMean.gravityMean.",-0.000946753019534884
"296","LAYING",29,"angle.tBodyGyroMean.gravityMean.",-0.0431070383319767
"297","LAYING",29,"angle.X.gravityMean.",-0.560722156395349
"298","LAYING",29,"angle.Y.gravityMean.",-0.0159365438755814
"299","LAYING",29,"angle.Z.gravityMean.",-0.131056819056395
"300","LAYING",29,"fBodyAcc.mean...X",-0.579901000186134
"301","LAYING",29,"fBodyAcc.mean...Y",-0.587686308146221
"302","LAYING",29,"fBodyAcc.mean...Z",-0.680547675465116
"303","LAYING",29,"fBodyAcc.std...X",-0.5727879490375
"304","LAYING",29,"fBodyAcc.std...Y",-0.630978844851831
"305","LAYING",29,"fBodyAcc.std...Z",-0.602550925183721
"306","LAYING",29,"fBodyAccJerk.mean...X",-0.629875853152035
"307","LAYING",29,"fBodyAccJerk.mean...Y",-0.641289075786337
"308","LAYING",29,"fBodyAccJerk.mean...Z",-0.768433928313954
"309","LAYING",29,"fBodyAccJerk.std...X",-0.651564188964826
"310","LAYING",29,"fBodyAccJerk.std...Y",-0.655526116655523
"311","LAYING",29,"fBodyAccJerk.std...Z",-0.818292780813954
"312","LAYING",29,"fBodyAccMag.mean..",-0.589294014734302
"313","LAYING",29,"fBodyAccMag.std..",-0.639314176054942
"314","LAYING",29,"fBodyBodyAccJerkMag.mean..",-0.609879937469099
"315","LAYING",29,"fBodyBodyAccJerkMag.std..",-0.636434470547384
"316","LAYING",29,"fBodyBodyGyroJerkMag.mean..",-0.840464164156977
"317","LAYING",29,"fBodyBodyGyroJerkMag.std..",-0.851462426569767
"318","LAYING",29,"fBodyBodyGyroMag.mean..",-0.722018434984302
"319","LAYING",29,"fBodyBodyGyroMag.std..",-0.671454324368401
"320","LAYING",29,"fBodyGyro.mean...X",-0.685747413486628
"321","LAYING",29,"fBodyGyro.mean...Y",-0.735972301656977
"322","LAYING",29,"fBodyGyro.mean...Z",-0.689221357718023
"323","LAYING",29,"fBodyGyro.std...X",-0.752567831707849
"324","LAYING",29,"fBodyGyro.std...Y",-0.588857987485174
"325","LAYING",29,"fBodyGyro.std...Z",-0.749163172296512
"326","LAYING",29,"tBodyAcc.mean...X",0.279111521944767
"327","LAYING",29,"tBodyAcc.mean...Y",-0.018471953048314
"328","LAYING",29,"tBodyAcc.mean...Z",-0.108675612269477
"329","LAYING",29,"tBodyAcc.std...X",-0.574295395364826
"330","LAYING",29,"tBodyAcc.std...Y",-0.598400275636657
"331","LAYING",29,"tBodyAcc.std...Z",-0.606461283926453
"332","LAYING",29,"tBodyAccJerk.mean...X",0.0788382324713372
"333","LAYING",29,"tBodyAccJerk.mean...Y",0.00900161248883721
"334","LAYING",29,"tBodyAccJerk.mean...Z",-0.00355290542467733
"335","LAYING",29,"tBodyAccJerk.std...X",-0.623456414216366
"336","LAYING",29,"tBodyAccJerk.std...Y",-0.635499779848779
"337","LAYING",29,"tBodyAccJerk.std...Z",-0.793746797790698
"338","LAYING",29,"tBodyAccJerkMag.mean..",-0.664538060484884
"339","LAYING",29,"tBodyAccJerkMag.std..",-0.620472049862791
"340","LAYING",29,"tBodyAccMag.mean..",-0.553585593347965
"341","LAYING",29,"tBodyAccMag.std..",-0.579067216088081
"342","LAYING",29,"tBodyGyro.mean...X",-0.0101831910869331
"343","LAYING",29,"tBodyGyro.mean...Y",-0.0882883296441861
"344","LAYING",29,"tBodyGyro.mean...Z",0.0881626266546221
"345","LAYING",29,"tBodyGyro.std...X",-0.73469927369157
"346","LAYING",29,"tBodyGyro.std...Y",-0.634569173421512
"347","LAYING",29,"tBodyGyro.std...Z",-0.713864583982558
"348","LAYING",29,"tBodyGyroJerk.mean...X",-0.100707751809855
"349","LAYING",29,"tBodyGyroJerk.mean...Y",-0.0464322029527616
"350","LAYING",29,"tBodyGyroJerk.mean...Z",-0.052785999031686
"351","LAYING",29,"tBodyGyroJerk.std...X",-0.736117664139535
"352","LAYING",29,"tBodyGyroJerk.std...Y",-0.853639613139535
"353","LAYING",29,"tBodyGyroJerk.std...Z",-0.770221314302326
"354","LAYING",29,"tBodyGyroJerkMag.mean..",-0.802293906366279
"355","LAYING",29,"tBodyGyroJerkMag.std..",-0.840156364186047
"356","LAYING",29,"tBodyGyroMag.mean..",-0.602228993700349
"357","LAYING",29,"tBodyGyroMag.std..",-0.653732301592151
"358","LAYING",29,"tGravityAcc.mean...X",0.683067625610465
"359","LAYING",29,"tGravityAcc.mean...Y",0.115489757911628
"360","LAYING",29,"tGravityAcc.mean...Z",0.208215370043721
"361","LAYING",29,"tGravityAcc.std...X",-0.973282885843023
"362","LAYING",29,"tGravityAcc.std...Y",-0.964643161017442
"363","LAYING",29,"tGravityAcc.std...Z",-0.941621790232558
"364","LAYING",29,"tGravityAccMag.mean..",-0.553585593347965
"365","LAYING",29,"tGravityAccMag.std..",-0.579067216088081
"366","LAYING",30,"angle.tBodyAccJerkMean..gravityMean.",0.0170043635063708
"367","LAYING",30,"angle.tBodyAccMean.gravity.",0.00829338120762402
"368","LAYING",30,"angle.tBodyGyroJerkMean.gravityMean.",-0.0220330832773107
"369","LAYING",30,"angle.tBodyGyroMean.gravityMean.",0.0231789870650131
"370","LAYING",30,"angle.X.gravityMean.",-0.563683489947781
"371","LAYING",30,"angle.Y.gravityMean.",0.0347383559268929
"372","LAYING",30,"angle.Z.gravityMean.",-0.118055740375574
"373","LAYING",30,"fBodyAcc.mean...X",-0.635650125322193
"374","LAYING",30,"fBodyAcc.mean...Y",-0.55849001001906
"375","LAYING",30,"fBodyAcc.mean...Z",-0.634958546900783
"376","LAYING",30,"fBodyAcc.std...X",-0.609238911508407
"377","LAYING",30,"fBodyAcc.std...Y",-0.531321491840992
"378","LAYING",30,"fBodyAcc.std...Z",-0.506570361273995
"379","LAYING",30,"fBodyAccJerk.mean...X",-0.685307771157441
"380","LAYING",30,"fBodyAccJerk.mean...Y",-0.671673670524282
"381","LAYING",30,"fBodyAccJerk.mean...Z",-0.755432212793734
"382","LAYING",30,"fBodyAccJerk.std...X",-0.701879208571802
"383","LAYING",30,"fBodyAccJerk.std...Y",-0.672622022924282
"384","LAYING",30,"fBodyAccJerk.std...Z",-0.807184940939948
"385","LAYING",30,"fBodyAccMag.mean..",-0.600372067046214
"386","LAYING",30,"fBodyAccMag.std..",-0.646522810920757
"387","LAYING",30,"fBodyBodyAccJerkMag.mean..",-0.656339723754047
"388","LAYING",30,"fBodyBodyAccJerkMag.std..",-0.664600262443812
"389","LAYING",30,"fBodyBodyGyroJerkMag.mean..",-0.811292332428198
"390","LAYING",30,"fBodyBodyGyroJerkMag.std..",-0.822805618746736
"391","LAYING",30,"fBodyBodyGyroMag.mean..",-0.669600510563003
"392","LAYING",30,"fBodyBodyGyroMag.std..",-0.589192650089817
"393","LAYING",30,"fBodyGyro.mean...X",-0.667418236692689
"394","LAYING",30,"fBodyGyro.mean...Y",-0.629910665959817
"395","LAYING",30,"fBodyGyro.mean...Z",-0.615699347830287
"396","LAYING",30,"fBodyGyro.std...X",-0.676801995680601
"397","LAYING",30,"fBodyGyro.std...Y",-0.496310421449608
"398","LAYING",30,"fBodyGyro.std...Z",-0.620253390415144
"399","LAYING",30,"tBodyAcc.mean...X",0.276305836721932
"400","LAYING",30,"tBodyAcc.mean...Y",-0.0175856077340209
"401","LAYING",30,"tBodyAcc.mean...Z",-0.10589355727859
